name,review,prices,colors
Lemokey P3 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),,CA$246.99,2 colors available
Lemokey P2 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),,CA$246.99,2 colors available
Lemokey L0 HE One Handed Magnetic Switch Gaming Keyboard,,CA$224.99,1 color available
Lemokey P1 HE Wireless Magnetic Switch Custom Gaming Keyboard ISO Layout Collection,,CA$246.99,N/A
Lemokey L1 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),,CA$344.99,3 colors available
Lemokey L5 HE Magnetic Switch Custom Gaming Keyboard,,CA$303.99,7 colors available
Lemokey P1 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),4.89 out of 5.0 stars,CA$246.99,2 colors available
Lemokey L4 QMK Wireless Custom Gaming Keyboard (US ANSI Layout),,CA$240.54,3 colors available
Lemokey P1 QMK Wireless Custom Mechanical Keyboard ISO Layout Collection,,CA$157.99,N/A
Lemokey L1 QMK Wireless Custom Mechanical Keyboard ISO Layout Collection,,CA$282.99,N/A
Lemokey P1 QMK/VIA Custom Gaming Keyboard (US ANSI Layout),5.0 out of 5.0 stars,CA$142.19,3 colors available
Lemokey L1 QMK/VIA Wireless Custom Gaming Keyboard (US ANSI Layout),4.0 out of 5.0 stars,CA$282.99,3 colors available
Lemokey L3 QMK/VIA Wireless Custom Mechanical Keyboard ISO Layout Collection,,CA$240.54,N/A
Lemokey L3 QMK/VIA Wireless Custom Mechanical Keyboard (US ANSI Layout),5.0 out of 5.0 stars,CA$282.99,3 colors available
