Name,Price,Link
Lemokey P3 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),CA$246.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-p3-he-wireless-magnetic-switch-custom-gaming-keyboard-us-ansi-layout
Lemokey P2 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),CA$246.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-p2-he-wireless-magnetic-switch-custom-gaming-keyboard-us-ansi-layout
Lemokey L0 HE One Handed Magnetic Switch Gaming Keyboard,CA$224.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l0-he-one-handed-magnetic-switch-gaming-keyboard
Lemokey P1 HE Wireless Magnetic Switch Custom Gaming Keyboard ISO Layout Collection,CA$246.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-p1-he-wireless-magnetic-switch-custom-gaming-keyboard-iso-layout-collection
Lemokey L1 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),CA$344.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l1-he-wireless-magnetic-switch-custom-gaming-keyboard-us-ansi-layout
Lemokey L5 HE Magnetic Switch Custom Gaming Keyboard,CA$303.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l5-he-magnetic-switch-custom-gaming-keyboard-us-ansi-layout
Lemokey P1 HE Wireless Magnetic Switch Custom Gaming Keyboard (US ANSI Layout),CA$246.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-p1-he-wireless-magnetic-switch-custom-gaming-keyboard-us-ansi-layout
Lemokey L4 QMK Wireless Custom Gaming Keyboard (US ANSI Layout),CA$240.54,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l4-qmk-wireless-custom-gaming-keyboard-us-ansi-layout
Lemokey P1 QMK Wireless Custom Mechanical Keyboard ISO Layout Collection,CA$157.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-p1-qmk-wireless-custom-mechanical-keyboard-iso-layout-collection
Lemokey L1 QMK Wireless Custom Mechanical Keyboard ISO Layout Collection,CA$282.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l1-qmk-wireless-custom-mechanical-keyboard-iso-layout-collection
Lemokey P1 QMK/VIA Custom Gaming Keyboard (US ANSI Layout),CA$142.19,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-p1-qmk-via-custom-gaming-keyboard
Lemokey L1 QMK/VIA Wireless Custom Gaming Keyboard (US ANSI Layout),CA$282.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l1-qmk-via-wireless-custom-gaming-keyboard
Lemokey L3 QMK/VIA Wireless Custom Mechanical Keyboard ISO Layout Collection,CA$240.54,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l3-qmk-via-wireless-custom-mechanical-keyboard-iso-layout-collection
Lemokey L3 QMK/VIA Wireless Custom Mechanical Keyboard (US ANSI Layout),CA$282.99,https://keychron.ca/collections/keychron-lemokey-series-keyboard-collection/products/lemokey-l3-qmk-via-wireless-custom-mechanical-keyboard
